State_Raw,County_Raw,Count_Total_Population,Count_Kids_0_18,Count_Working_Age_19_64,Count_Seniors_65Plus,Count_Medicaid_Enrollees,Estimated_Medicaid_Spend,Estimated_Total_County_Spend,ACCESS2,ARTHRITIS,BINGE,BPHIGH,BPMED,CANCER,CASTHMA,CHD,CHECKUP,CHOLSCREEN,COGNITION,COLON_SCREEN,COPD,CSMOKING,DENTAL,DEPRESSION,DIABETES,DISABILITY,EMOTIONSPT,FOODINSECU,FOODSTAMP,GHLTH,HEARING,HIGHCHOL,HOUSINSECU,INDEPLIVE,LACKTRPT,LONELINESS,LPA,MAMMOUSE,MHLTH,MOBILITY,OBESITY,PHLTH,SELFCARE,SHUTUTILITY,SLEEP,STROKE,TEETHLOST,VISION,COST_DRIVEN_BY_DIABETES,COST_DRIVEN_BY_CANCER,COST_DRIVEN_BY_COPD,COST_DRIVEN_BY_OBESITY
Colorado,Kit Carson County,7015,1816,3805,1394,1744,16044800,110837000,13.9,29.4,18.6,33.3,74.6,9.8,11.5,7.7,68.0,81.9,16.2,61.6,6.6,14.9,62.3,23.3,11.4,34.1,,,,19.2,9.1,35.3,,9.0,,,22.9,67.4,19.0,12.3,29.4,14.1,4.2,,32.5,3.1,19.4,5.2,13396742.0,26123860.0,5324385.0,7012194.0
Colorado,Lake County,7411,1431,5005,975,914,8408800,117093800,11.9,21.7,19.7,26.4,69.2,7.0,10.2,4.6,69.3,85.5,13.1,60.6,4.4,10.2,68.9,21.6,8.4,25.0,,,,14.7,6.1,28.6,,6.0,,,17.0,70.9,15.4,9.5,23.7,11.4,2.7,,29.5,2.5,8.1,4.0,10428522.0,19713260.0,3749966.0,5971784.0
Colorado,La Plata County,56088,10054,34842,11192,10049,92450800,886190400,8.6,22.5,18.5,28.6,49.8,7.7,11.2,6.2,73.1,84.6,13.2,62.6,5.2,11.7,69.0,21.9,9.3,26.3,,,,15.2,7.4,27.8,,6.9,,,15.3,71.3,15.6,11.4,20.9,11.6,2.8,,27.5,2.6,7.1,4.0,87381514.0,164113488.0,33540624.0,39856133.0
Colorado,Larimer County,363561,67996,234301,61264,53827,495208400,5744263800,8.7,21.6,19.5,24.6,50.8,7.8,11.2,5.1,69.8,84.4,13.9,64.0,5.2,10.2,69.1,25.0,7.3,25.8,,,,13.5,5.9,27.9,,6.4,,,13.9,68.5,16.9,9.0,24.4,11.5,2.6,,27.2,2.4,7.6,3.6,444597293.0,1077594804.0,217409478.0,301610206.0
Colorado,Las Animas County,14392,2628,8081,3683,4369,40194800,227393600,16.8,30.6,17.5,28.3,51.3,9.5,10.9,5.8,68.0,81.7,16.0,61.8,6.2,13.7,55.6,21.7,13.7,36.6,,,,21.1,7.3,28.7,,9.0,,,24.1,69.8,18.1,17.3,32.5,16.0,4.8,,33.9,4.4,15.2,6.9,33029985.0,51955120.0,10261496.0,15903160.0
Colorado,Lincoln County,5561,982,3590,989,1028,9457600,87863800,14.5,23.5,18.9,29.0,71.7,7.1,10.9,5.9,67.9,80.9,17.2,56.2,6.8,15.7,57.5,21.6,10.8,33.3,,,,20.7,8.7,29.1,,8.5,,,22.3,67.4,18.2,14.4,29.9,14.7,3.8,,31.6,3.8,14.3,5.7,10061050.0,15003578.0,4348702.0,5653313.0
Colorado,Logan County,21067,3849,13292,3926,5978,54997600,332858600,14.9,27.4,16.8,30.5,50.9,7.2,11.4,6.2,70.5,82.0,18.0,60.8,7.4,16.0,56.8,23.6,9.8,34.2,,,,21.4,7.6,29.3,,9.5,,,22.7,68.1,18.1,15.1,30.3,14.5,4.4,,33.7,3.4,18.1,5.8,34585610.0,57639312.0,17928017.0,21703223.0
Colorado,Mesa County,157316,32807,92362,32147,36890,339388000,2485592800,11.0,28.2,18.6,31.1,48.9,9.6,11.5,6.7,68.9,82.8,14.9,64.8,5.8,12.7,61.8,24.5,9.8,30.6,,,,17.6,8.1,26.6,,7.6,,,20.0,68.1,16.6,10.8,29.8,13.1,3.5,,29.4,3.5,14.0,4.7,258265048.0,573888768.0,104929772.0,159392571.0
Colorado,Mineral County,799,100,462,237,137,1260400,12624200,6.9,31.0,15.8,25.8,50.7,7.9,10.7,7.3,70.1,84.7,13.2,70.3,6.9,10.5,65.5,21.5,10.5,27.7,,,,15.1,6.2,37.5,,6.3,,,16.6,75.2,16.2,9.0,25.1,11.0,3.2,,29.5,3.6,9.3,4.0,1405409.0,2398598.0,634007.0,681867.0
Colorado,Moffat County,13258,3342,7775,2141,3821,35153200,209476400,12.8,23.9,17.2,32.3,71.2,8.6,11.4,5.8,68.3,81.4,17.4,56.6,7.9,15.6,54.6,24.1,10.8,31.6,,,,19.9,8.2,34.8,,8.8,,,22.1,66.3,19.0,12.2,28.5,14.1,4.1,,33.0,3.7,16.1,5.5,23986586.0,43327144.0,12044893.0,12847002.0
